version,section,filename,function,offset,length,language
us,main,main_10DC0.c,func_801360C8,2148753608,848,c
us,main,main_10DC0.c,func_80136418,2148754456,676,c
us,main,main_10DC0.c,func_801366BC,2148755132,636,c
us,main,main_10DC0.c,draw_sprite,2148755768,936,c
us,main,thread9.c,init_controllers,2148756704,644,asm
us,main,thread9.c,func_80136F64,2148757348,320,c
us,main,thread9.c,func_801370A4,2148757668,80,c
us,main,thread9.c,func_801370F4,2148757748,72,c
us,main,thread9.c,func_8013713C,2148757820,44,c
us,main,thread9.c,func_80137168,2148757864,156,c
us,main,thread9.c,func_80137204,2148758020,72,c
us,main,thread9.c,func_8013724C,2148758092,72,c
us,main,thread9.c,thread9,2148758164,312,c
us,main,thread9.c,do_rumble,2148758476,540,asm
us,main,thread9.c,func_801375E8,2148759016,600,c
us,main,thread9.c,func_80137840,2148759616,128,c
version,section,filename,function,offset,length,language
us,lib,initialize,osInitialize,2148759744,656,c
us,lib,ll,__ull_rshift,2148760400,44,c
us,lib,ll,__ull_rem,2148760444,60,c
us,lib,ll,__ull_div,2148760504,60,c
us,lib,ll,__ll_lshift,2148760564,44,c
us,lib,ll,__ll_rem,2148760608,60,c
us,lib,ll,__ll_div,2148760668,92,c
us,lib,ll,__ll_mul,2148760760,48,c
us,lib,ll,__ull_divremi,2148760808,96,c
us,lib,ll,__ll_mod,2148760904,156,c
us,lib,ll,__ll_rshift,2148761060,44,c
us,lib,sqrtf,sqrtf,2148761104,16,c
us,lib,gettime,osGetTime,2148761120,144,c
us,lib,writebackdcacheall,osWritebackDCacheAll,2148761264,48,c
us,lib,pidma,osPiStartDma,2148761312,272,c
us,lib,recvmesg,osRecvMesg,2148761584,320,c
us,lib,virtualtophysical,osVirtualToPhysical,2148761904,128,c
us,lib,createmesgqueue,osCreateMesgQueue,2148762032,48,c
us,lib,startthread,osStartThread,2148762080,336,c
us,lib,sched,__scTaskReady,2148762416,1840,c
us,lib,sched,osScGetCmdQ,2148764256,8,c
us,lib,sched,osScRemoveClient,2148764264,136,c
us,lib,sched,osScAddClient,2148764400,80,c
us,lib,sched,osCreateScheduler,2148764480,304,c
us,lib,visetspecial,osViSetSpecialFeatures,2148764784,448,c
us,lib,contreaddata,osContStartReadData,2148765232,140,c
us,lib,contreaddata,osContGetReadData,2148765372,404,c
us,lib,sendmesg,osSendMesg,2148765776,336,c
us,lib,visetxscale,osViSetXScale,2148766208,304,c
us,lib,visetyscale,osViSetYScale,2148766512,96,c
us,lib,viblack,osViBlack,2148766608,112,c
us,lib,invalicache,osInvalICache,2148766720,128,c
us,lib,invaldcache,osInvalDCache,2148766848,176,c
us,lib,bzero,_bzero,2148767024,160,c
us,lib,sprintf,sprintf,2148767220,92,c
us,lib,syncprintf.c,osSyncPrintf,2148767312,28,c
us,lib,syncprintf.c,rmonPrintf,2148767340,36,c
us,lib,conteeplongwrite,osEepromLongWrite,2148767376,240,c
us,lib,conteeplongread,osEepromLongRead,2148767616,144,c
us,lib,dpsetstat,osDpSetStatus,2148767760,16,c
us,lib,aisetfreq,osAiSetFrequency,2148767776,352,c
us,lib,sl,alUnlink,2148768128,48,c
us,lib,sl,alLink,2148768176,36,c
us,lib,sl,alClose,2148768212,56,c
us,lib,sl,alInit,2148768268,52,c
us,lib,heapalloc,alHeapDBAlloc,2148768320,96,c
us,lib,createthread,osCreateThread,2148768416,336,c
us,lib,aisetnextbuf,osAiSetNextBuffer,2148768752,176,c
us,lib,aigetlen,osAiGetLength,2148768928,16,c
us,lib,synthesizer,_timeToSamples,2148768952,88,c
us,lib,synthesizer,_freePVoice,2148769040,56,c
us,lib,synthesizer,_collectPVoices,2148769096,96,c
us,lib,synthesizer,__freeParam,2148769192,24,c
us,lib,synthesizer,__allocParam,2148769216,56,c
us,lib,synthesizer,alAudioFrame,2148769272,664,c
us,lib,synthesizer,alSynNew,2148769936,768,c
us,lib,heapinit,alHeapInit,2148770704,64,c
us,lib,bnkf,alBnkfNew,2148771028,260,c
us,lib,bnkf,alSeqFileNew,2148771288,72,c
us,lib,sndplayer,alSndpNew,2148772852,316,c
us,lib,seqpsetbank,alSeqpSetBank,2148773168,64,c
us,lib,cseq,alCSeqGetLoc,2148773232,160,c
us,lib,cseq,alCSeqSetLoc,2148773392,452,c
us,lib,cseq,alCSeqNextEvent,2148773844,760,c
us,lib,cseq,alCSeqNew,2148774604,276,c
us,lib,cseq,alCSeqNewMarker,2148774880,364,c
us,lib,cseq,alCSeqGetTicks,2148775244,8,c
us,lib,cseq,alCSeqSecToTicks,2148775252,252,c
us,lib,cseq,alCSeqTicksToSec,2148775504,108,c
us,lib,cseq,__alCSeqNextDelta,2148775612,372,c
us,lib,seqpsetseq,alSeqpSetSeq,2148775984,64,c
us,lib,seqpsetvol,alSeqpSetVol,2148776048,64,c
us,lib,seqpplay,alSeqpPlay,2148776112,48,c
us,lib,sndpallocate,alSndpAllocate,2148776160,160,c
us,lib,sndpsetsound,alSndpSetSound,2148776320,32,c
us,lib,sndpsetpitch,alSndpSetPitch,2148776352,96,c
us,lib,sndpsetvol,alSndpSetVol,2148776448,96,c
us,lib,sndpsetfxmix,alSndpSetFXMix,2148776544,96,c
us,lib,sndpplay,alSndpPlay,2148776640,112,c
us,lib,seqpstop,alSeqpStop,2148776752,48,c
us,lib,sndpgetstate,alSndpGetState,2148776800,32,c
us,lib,sndpdeallocate,alSndpDeallocate,2148776832,80,c
us,lib,sndpsetpan,alSndpSetPan,2148776912,96,c
us,lib,sndpstop,alSndpStop,2148777008,80,c
us,lib,seqplayer,__setInstChanState,2148777088,84,c
us,lib,seqplayer,__resetPerfChanState,2148777172,128,c
us,lib,seqplayer,__initFromBank,2148777300,188,c
us,lib,seqplayer,__vsDelta,2148777488,36,c
us,lib,seqplayer,__vsVol,2148777524,136,c
us,lib,seqplayer,__seqpReleaseVoice,2148777660,300,c
us,lib,seqplayer,__voiceNeedsNoteKill,2148777960,168,c
us,lib,seqplayer,__unmapVoice,2148778128,112,c
us,lib,seqplayer,__postNextSeqEvent,2148778240,340,c
us,lib,seqplayer,__vsPan,2148778580,72,c
us,lib,seqplayer,__lookupVoice,2148778652,116,c
us,lib,seqplayer,__mapVoice,2148778768,112,c
us,lib,seqplayer,__lookupSoundQuick,2148778880,3904,c
us,lib,seqplayer,__seqpStopOsc,2148782784,260,c
us,lib,seqplayer,__initChanState,2148783044,112,c
us,lib,seqplayer,alSeqpNew,2148783156,396,c
us,lib,event,alEvtqFlushType,2148783552,172,c
us,lib,event,alEvtqFlush,2148783724,112,c
us,lib,event,alEvtqPostEvent,2148783836,292,c
us,lib,event,alEvtqNextEvent,2148784128,140,c
us,lib,event,alEvtqNew,2148784268,116,c
us,lib,synaddplayer,alSynAddPlayer,2148784384,80,c
us,lib,synstopvoice,alSynStopVoice,2148784464,128,c
us,lib,synfreevoice,alSynFreeVoice,2148784592,176,c
us,lib,synsetvol,alSynSetVol,2148784768,160,c
us,lib,synsetpitch,alSynSetPitch,2148784928,144,c
us,lib,synallocvoice,_allocatePVoice,2148785072,232,c
us,lib,synallocvoice,alSynAllocVoice,2148785304,328,c
us,lib,cents2ratio,alCents2Ratio,2148785632,80,c
us,lib,synstartvoiceparam,alSynStartVoiceParams,2148785712,240,c
us,lib,synsetpan,alSynSetPan,2148785952,144,c
us,lib,synsetfxmix,alSynSetFXMix,2148786096,160,c
us,lib,setintmask,osSetIntMask,2148786256,160,c
us,lib,pimgr,osCreatePiManager,2148786416,400,c
us,lib,setthreadpri,osSetThreadPri,2148786816,224,c
us,lib,usprite,guSprite2DInit,2148787040,80,c
us,lib,seteventmesg,osSetEventMesg,2148787120,112,c
us,lib,controller,osContInit,2148787232,368,c
us,lib,controller,__osContGetInitData,2148787600,208,c
us,lib,controller,__osPackRequestData,2148787808,256,c
us,lib,contsetch,osContSetCh,2148788064,112,c
us,lib,pfsinit,osPfsInit,2148788176,192,c
us,lib,motor,osMotorStop,2148788368,416,c
us,lib,motor,osMotorStart,2148788784,796,c
us,lib,motor,osMotorInit,2148789580,740,c
us,lib,conteepprobe,osEepromProbe,2148790320,160,c
us,lib,llcvt,__d_to_ll,2148790480,28,c
us,lib,llcvt,__f_to_ll,2148790508,28,c
us,lib,llcvt,__d_to_ull,2148790536,160,c
us,lib,llcvt,__f_to_ull,2148790696,156,c
us,lib,llcvt,__ll_to_d,2148790852,24,c
us,lib,llcvt,__ll_to_f,2148790876,24,c
us,lib,llcvt,__ull_to_d,2148790900,52,c
us,lib,llcvt,__ull_to_f,2148790952,56,c
us,lib,translate,guTranslateF,2148791008,72,c
us,lib,translate,guTranslate,2148791080,88,c
us,lib,perspective,guPerspectiveF,2148791168,560,c
us,lib,perspective,guPerspective,2148791728,96,c
us,lib,scale,guScaleF,2148791824,84,c
us,lib,scale,guScale,2148791908,76,c
us,lib,lookat,guLookAtF,2148791984,696,c
us,lib,lookat,guLookAt,2148792680,120,c
us,lib,rotate,guRotateF,2148792800,404,c
us,lib,rotate,guRotate,2148793204,92,c
us,lib,rotateRPY,guRotateRPYF,2148793296,332,c
us,lib,rotateRPY,guRotateRPY,2148793628,84,c
us,lib,cosf,fcos,2148793712,368,c
us,lib,sinf,sinf,2148794080,448,c
us,lib,lookatref,guLookAtReflectF,2148794528,1036,c
us,lib,lookatref,guLookAtReflect,2148795564,132,c
us,lib,lookathil,guLookAtHiliteF,2148795696,1848,c
us,lib,lookathil,guLookAtHilite,2148797544,184,c
us,lib,random,guRandom,2148797728,48,c
us,lib,vigetline,osViGetCurrentLine,2148797776,16,c
us,lib,setsr,__osSetSR,2148797792,16,c
us,lib,getsr,__osGetSR,2148797808,16,c
us,lib,setfpccsr,__osSetFpcCsr,2148797824,16,c
us,lib,sirawread,__osSiRawReadIo,2148797840,80,c
us,lib,sirawwrite,__osSiRawWriteIo,2148797920,80,c
us,lib,exceptasm,__osExceptionPreamble,2148798000,16,c
us,lib,exceptasm,__osException,2148798016,1332,c
us,lib,exceptasm,send_mesg,2148799348,180,c
us,lib,exceptasm,handle_CpU,2148799528,52,c
us,lib,exceptasm,__osEnqueueAndYield,2148799580,256,c
us,lib,exceptasm,__osEnqueueThread,2148799836,72,c
us,lib,exceptasm,__osPopThread,2148799908,16,c
us,lib,exceptasm,__osDispatchThread,2148799924,380,c
us,lib,exceptasm,__osCleanupThread,2148800304,16,c
us,lib,writebackdcache,osWritebackDCache,2148800320,128,c
us,lib,maptlbrdb,osMapTLBRdb,2148800448,96,c
us,lib,pirawread,osPiRawReadIo,2148800544,96,c
us,lib,interrupt,__osDisableInt,2148800640,32,c
